"PID","Year_of_Publication","Journal","Title","Publication_Link","Summary","Focus"
1,2016,Cell,"Single Cell RNA-seq Study of Midbrain and Dopaminergic Neuron Development in Mouse, Human, and Stem Cells",https://doi.org/10.1016/j.cell.2016.09.027,"Three-dimensional brain organoids have emerged as a valuable model system for studies of human brain development and pathology. Here we establish a midbrain organoid culture system to study the developmental trajectory from pluripotent stem cells to mature dopamine neurons. Using single cell RNA sequencing, we identify the presence of three molecularly distinct subtypes of human dopamine neurons with high similarity to those in developing and adult human midbrain. However, despite significant advancements in the field, the use of brain organoids can be limited by issues of reproducibility and incomplete maturation which was also observed in this study. We therefore designed bioengineered ventral midbrain organoids supported by recombinant spider-silk microfibers functionalized with full-length human laminin. We show that silk organoids reproduce key molecular aspects of dopamine neurogenesis and reduce inter-organoid variability in terms of cell type composition and dopamine neuron formation.",Development
2,2017,Scientific Reports,A novel addressable 9600-microwell array single cell RNA-seq method applied on fresh mouse cortical cells and frozen human cortical nuclei,https://doi.org/10.1038/s41598-017-16546-4,"Single-cell RNA sequencing, fate tracking and microscopy reveal the diversity and unique transcriptional characteristics of non-substantial macrophages in the border areas of the mouse brain (such as the dura, subarachnoid space and choroidal plexus). The study found that these border-associated macrophages (BAMs) differ in tissue-specific transcriptional characteristics, composition changes during development, and self-renewal ability. In addition, the study identified a unique subpopulation of microglia located on the epithelial surface of the choroid plexus.",Development
3,2017,Cell Reports,Single-Cell RNA-Seq Reveals Hypothalamic Cell Diversity,https://doi.org/10.1016/j.celrep.2017.03.004,"The study analyzed the adult mouse hypothalamus using single-cell RNA sequencing (Drop-seq) and identified 11 non-neuronal and 34 neuronal cell populations, revealing the cellular diversity of the hypothalamus. The study also analyzed the transcriptional effects of food deprivation on different neuronal subtypes, providing an integrative transcriptional perspective of hypothalamic cell type-specific functions.",cell types
4,2018,Nature Communications,Single cell molecular alterations reveal target cells and pathways of concussive brain injury,https://doi.org/10.1038/s41467-018-06222-0,"The complex neuropathology of traumatic brain injury (TBI) is difficult to dissect, given the convoluted cytoarchitecture of affected brain regions such as the hippocampus. Hippocampal dysfunction during TBI results in cognitive decline that may escalate to other neurological disorders, the molecular basis of which is hidden in the genomic programs of individual cells. Using the unbiased single cell sequencing method Drop-seq, we report that concussive TBI affects previously undefined cell populations, in addition to classical hippocampal cell types. TBI also impacts cell type-specific genes and pathways and alters gene co-expression across cell types, suggesting hidden pathogenic mechanisms and therapeutic target pathways. Modulating the thyroid hormone pathway as informed by the T4 transporter transthyretin Ttr mitigates TBI-associated genomic and behavioral abnormalities. Thus, single cell genomics provides unique information about how TBI impacts diverse hippocampal cell types, adding new insights into the pathogenic pathways amenable to therapeutics in TBI and related disorders.",Injury
5,2018,Cell Reports,Single-Cell RNA-Seq of Mouse Olfactory Bulb Reveals Cellular Heterogeneity and Activity-Dependent Molecular Census of Adult-Born Neurons,https://doi.org/10.1016/j.celrep.2018.11.001,"Cellular heterogeneity within the mammalian brain poses a challenge towards understanding its complex functions. Within the olfactory bulb (OB), odor information is processed by subtypes of inhibitory interneurons whose heterogeneity and functionality is influenced by ongoing adult neurogenesis. To investigate this cellular heterogeneity, and to better understand the developmental programs of adult-born neurons, we utilized single cell RNA sequencing and computational modeling to reveal diverse and transcriptionally distinct neuronal and non-neuronal cell types. We also analyzed molecular changes during adult-born interneuron maturation, and uncovered developmental programs within their gene expression profiles. Finally, we discovered that distinct neuronal subtypes are differentially affected by sensory experience. Together, these data provide a transcriptome-based foundation for investigating subtype-specific neuronal function in the OB, charting the molecular profiles that arise during the maturation and integration of adult-born neurons, and documenting activity-dependent changes in the cellular composition of the olfactory system.",Development
6,2018,Cell,Ultraconserved Enhancers Are Required for Normal Development,https://doi.org/10.1016/j.cell.2017.12.017,"Focus on the non-coding regions of the superconservative genome, especially the superconservative enhancers located near the Arx gene. Through CRISPR/Cas9 gene editing technology, researchers created knockout mouse models that lack single or multiple ultraconservative enhancers. The results showed that although these mice showed survival and fertility under laboratory conditions, there were abnormalities in nerve and growth, including significant changes in neuronal populations and brain structural defects. These findings suggest that superconservative enhancers have important functions in normal development, and their extreme sequence conservatism may stem from subtle effects on fitness during evolution.",Development
7,2019,Nature Neuroscience,A single-cell atlas of the human cortex reveals drivers of transcriptional changes in Alzheimer’s disease in specific cell subpopulations,https://doi.org/10.1038/s41593-019-0539-4,"There is currently little information available about how individual cell types contribute to Alzheimer’s disease. Here we applied single-nucleus RNA sequencing to entorhinal cortex samples from control and Alzheimer’s disease brains (n = 6 per group), yielding a total of 13,214 high-quality nuclei. We detail cell-type-specific gene expression patterns, unveiling how transcriptional changes in specific cell subpopulations are associated with Alzheimer’s disease. We report that the Alzheimer’s disease risk gene APOE is specifically repressed in Alzheimer’s disease oligodendrocyte progenitor cells and astrocyte subpopulations and upregulated in an Alzheimer’s disease-specific microglial subopulation. Integrating transcription factor regulatory modules with Alzheimer’s disease risk loci revealed drivers of cell-type-specific state transitions towards Alzheimer’s disease. For example, transcription factor EB, a master regulator of lysosomal function, regulates multiple disease genes in a specific Alzheimer’s disease astrocyte subpopulation. These results provide insights into the coordinated control of Alzheimer’s disease risk genes and their cell-type-specific contribution to disease susceptibility. These results are available at http://adsn.ddnetbio.com.",Alzheimer's disease
8,2019,Nature,Individual brain organoids reproducibly form cell diversity of the human cerebral cortex,https://doi.org/10.1038/s41586-019-1289-x,"Experimental models of the human brain are needed for basic understanding of its development and disease. Human brain organoids hold unprecedented promise for this purpose; however, they are plagued by high organoid-to-organoid variability2,3. This has raised doubts as to whether developmental processes of the human brain can occur outside the context of embryogenesis with a degree of reproducibility that is comparable to the endogenous tissue. Here we show that an organoid model of the dorsal forebrain can reliably generate a rich diversity of cell types appropriate for the human cerebral cortex. We performed single-cell RNA-sequencing analysis of 166,242 cells isolated from 21 individual organoids, finding that 95% of the organoids generate a virtually indistinguishable compendium of cell types, following similar developmental trajectories and with a degree of organoid-to-organoid variability comparable to that of individual endogenous brains. Furthermore, organoids derived from different stem cell lines show consistent reproducibility in the cell types produced. The data demonstrate that reproducible development of the complex cellular diversity of the central nervous system does not require the context of the embryo, and that establishment of terminal cell identity is a highly constrained process that can emerge from diverse stem cell origins and growth environments.",Development
9,2019,Cell,Multimodal Analysis of Cell Types in a Hypothalamic Node Controlling Social Behavior,https://doi.org/10.1016/j.cell.2020.01.025,"Despite advances in genetic and proteomic techniques, a complete portrait of the proteome and its complement of dynamic interactions and modifications remains a lofty, and as of yet, unrealized, objective. Specifically, traditional biological and analytical approaches have not been able to address key questions relating to the interactions of proteins with small molecules, including drugs, drug candidates, metabolites, or protein post-translational modifications (PTMs). Fortunately, chemists have bridged this experimental gap through the creation of bioorthogonal reactions. These reactions allow for the incorporation of chemical groups with highly selective reactivity into small molecules or protein modifications without perturbing their biological function, enabling the selective installation of an analysis tag for downstream investigations. The introduction of chemical strategies to parse and enrich subsets of the ""functional"" proteome has empowered mass spectrometry (MS)-based methods to delve more deeply and precisely into the biochemical state of cells and its perturbations by small molecules. In this Primer, we discuss how one of the most versatile bioorthogonal reactions, ""click chemistry"", has been exploited to overcome limitations of biological approaches to enable the selective marking and functional investigation of critical protein-small-molecule interactions and PTMs in native biological environments.",other
10,2019,Journal of Molecular Cell Biology,Single-Cell Transcriptomes Reveal Molecular Specializations of Neuronal Cell Types in the Developing Cerebellum,https://doi.org/10.1093/jmcb/mjz008,"The transcriptome of 21,119 single-cells in the postnatal cerebellum of mice was analyzed, and eight major cell clusters were identified, including granule precursor cells, granule cells, astrocytes, interneurons, oligodendrocytes, microglia, Purkinje cells and endothelial cells. Studies have revealed the molecular specialization of these cell types during development, especially the developmental trajectories of granule cells and Purkinje cells, as well as related gene expression patterns. In addition, the study also explores the expression patterns of risk genes associated with ataxia in different cell types of cerebellar",cell types
